AlarmId,HistoryAction,AlarmKey,Node,SubMethod,AlarmGroup,SubAlarmGroup,AlarmType,Reported,Severity
3890048439,UPDATE,"W72NKYXO4 bgpPeerEntry.10.43.186.1 CISCO BGP Peer Status 2 CISCO-BGP ver.4 Trapd 1 1 ",W72NKYXO4,"CISCO-BGP ver.4","CISCO BGP Peer Status",None,2,1428444001,4
3889870839,UPDATE,10.43.186.65LINK-3-UPDOWNInterface,10.43.186.65,"Cisco Syslog",LINK-3-UPDOWN,None,2,1428444001,3
3800611581,UPDATE,"IETF-BGP4-MIB-W72NKYXO4-IETF BGP Peer Status-None-BGP Peer Connection Idle  ( BGP Peer: W72NKYXO4 )",W72NKYXO4,IETF-BGP4-MIB,"IETF BGP Peer Status",None,2,1428444001,4
3916444061,UPDATE,BPA_CSFI-CSFI1.YNEW.LEUU.BPA.NS,CSFI1.YNEW.LEUU.BPA.NS,BPA_CSFI,SIL,BPA_CSFI,1,1428444001,0
3890048191,UPDATE,"W72NKYXO4 bgpPeerEntry.10.43.186.9 CISCO BGP Peer Status 2 CISCO-BGP ver.4 Trapd 1 1 ",W72NKYXO4,"CISCO-BGP ver.4","CISCO BGP Peer Status",None,2,1428444001,4
3917675515,UPDATE,"SP55BSUB01: hwNmNorthboundEventNotify alarm. Event: ID:72,DeviceType:1977,AU alarm indication - Slot: 7 Port: 1 TTP_TYPE=44 7-SL16S-1(SP35FMWH01 S7/1)-VC4:15",SP55BSUB01,hwNmNorthboundEventTrap,Communication,"Slot=7 Port=1 TTP_TYPE=44 7-SL16S-1(SP35FMWH01 S7/1)-VC4:15",2,1428444001,4
3917675517,UPDATE,"SP55BSUB01: hwNmNorthboundEventNotify alarm. Event: ID:72,DeviceType:1977,AU alarm indication - Slot: 7 Port: 1 TTP_TYPE=44 7-SL16S-1(SP35FMWH01 S7/1)-VC4:14",SP55BSUB01,hwNmNorthboundEventTrap,Communication,"Slot=7 Port=1 TTP_TYPE=44 7-SL16S-1(SP35FMWH01 S7/1)-VC4:14",2,1428444001,4
3917675489,UPDATE,"SP35YUDK01: hwNmNorthboundEventNotify alarm. Event: ID:72,DeviceType:1942,AU alarm indication - Slot: 7 Port: 1 TTP_TYPE=44 7-N1SLD16-1(SDH-1)-VC4:2",SP35YUDK01,hwNmNorthboundEventTrap,Communication,"Slot=7 Port=1 TTP_TYPE=44 7-N1SLD16-1(SDH-1)-VC4:2",2,1428444001,4
3917675491,UPDATE,"SP35YUDK01: hwNmNorthboundEventNotify alarm. Event: ID:72,DeviceType:1942,AU alarm indication - Slot: 3 Port: 2 TTP_TYPE=44 3-SEP-2(21-EU08.SDH-2)-VC4:1",SP35YUDK01,hwNmNorthboundEventTrap,Communication,"Slot=3 Port=2 TTP_TYPE=44 3-SEP-2(21-EU08.SDH-2)-VC4:1",2,1428444001,4
3917675493,UPDATE,"SP35YUDK01: hwNmNorthboundEventNotify alarm. Event: ID:72,DeviceType:1942,AU alarm indication - Slot: 3 Port: 1 TTP_TYPE=44 3-SEP-1(21-EU08.SDH-1)-VC4:1",SP35YUDK01,hwNmNorthboundEventTrap,Communication,"Slot=3 Port=1 TTP_TYPE=44 3-SEP-1(21-EU08.SDH-1)-VC4:1",2,1428444001,4
3917675507,UPDATE,"SP55EMDF01: hwNmNorthboundEventNotify alarm. Event: ID:72,DeviceType:1977,AU alarm indication - Slot: 8 Port: 1 TTP_TYPE=44 8-SL16S-1(SP55APIL01 S7)-VC4:15",SP55EMDF01,hwNmNorthboundEventTrap,Communication,"Slot=8 Port=1 TTP_TYPE=44 8-SL16S-1(SP55APIL01 S7)-VC4:15",2,1428444001,4
3917675509,UPDATE,"SP55EMDF01: hwNmNorthboundEventNotify alarm. Event: ID:72,DeviceType:1977,AU alarm indication - Slot: 8 Port: 1 TTP_TYPE=44 8-SL16S-1(SP55APIL01 S7)-VC4:14",SP55EMDF01,hwNmNorthboundEventTrap,Communication,"Slot=8 Port=1 TTP_TYPE=44 8-SL16S-1(SP55APIL01 S7)-VC4:14",2,1428444001,4
3917675495,UPDATE,"SP55IFTZ01: hwNmNorthboundEventNotify alarm. Event: ID:72,DeviceType:1977,AU alarm indication - Slot: 8 Port: 1 TTP_TYPE=44 8-SL16S-1(SP55DPGG01 S7)-VC4:15",SP55IFTZ01,hwNmNorthboundEventTrap,Communication,"Slot=8 Port=1 TTP_TYPE=44 8-SL16S-1(SP55DPGG01 S7)-VC4:15",2,1428444001,4
3917675497,UPDATE,"SP55IFTZ01: hwNmNorthboundEventNotify alarm. Event: ID:72,DeviceType:1977,AU alarm indication - Slot: 8 Port: 1 TTP_TYPE=44 8-SL16S-1(SP55DPGG01 S7)-VC4:14",SP55IFTZ01,hwNmNorthboundEventTrap,Communication,"Slot=8 Port=1 TTP_TYPE=44 8-SL16S-1(SP55DPGG01 S7)-VC4:14",2,1428444001,4
3917675511,UPDATE,"SP55GKGC01: hwNmNorthboundEventNotify alarm. Event: ID:72,DeviceType:1977,AU alarm indication - Slot: 7 Port: 1 TTP_TYPE=44 7-SL16S-1(SP55MPEV01 S8)-VC4:15",SP55GKGC01,hwNmNorthboundEventTrap,Communication,"Slot=7 Port=1 TTP_TYPE=44 7-SL16S-1(SP55MPEV01 S8)-VC4:15",2,1428444001,4
3917675513,UPDATE,"SP55GKGC01: hwNmNorthboundEventNotify alarm. Event: ID:72,DeviceType:1977,AU alarm indication - Slot: 7 Port: 1 TTP_TYPE=44 7-SL16S-1(SP55MPEV01 S8)-VC4:14",SP55GKGC01,hwNmNorthboundEventTrap,Communication,"Slot=7 Port=1 TTP_TYPE=44 7-SL16S-1(SP55MPEV01 S8)-VC4:14",2,1428444001,4
3800611643,UPDATE,"IETF-BGP4-MIB-QA36CZJR01-IETF BGP Peer Status-None-BGP Peer Connection Idle  ( BGP Peer: QA36CZJR01 )",QA36CZJR01,IETF-BGP4-MIB,"IETF BGP Peer Status",None,2,1428444001,4
3890050239,UPDATE,"W72NKYXO4 bgpPeerEntry.10.43.186.13 CISCO BGP Peer Status 2 CISCO-BGP ver.4 Trapd 2 1 ",W72NKYXO4,"CISCO-BGP ver.4","CISCO BGP Peer Status",None,2,1428444002,4
3890048461,UPDATE,"QA36CZJR01 bgpPeerEntry.10.43.149.120 CISCO BGP Peer Status 2 CISCO-BGP ver.4 Trapd 2 1 ",QA36CZJR01,"CISCO-BGP ver.4","CISCO BGP Peer Status",None,2,1428444002,4
3890048203,UPDATE,"W72NKYXO4 bgpPeerEntry.10.43.186.15 CISCO BGP Peer Status 2 CISCO-BGP ver.4 Trapd 1 1 ",W72NKYXO4,"CISCO-BGP ver.4","CISCO BGP Peer Status",None,2,1428444002,4
3890048467,UPDATE,"QA36CZJR01 bgpPeerEntry.10.43.149.120 CISCO BGP Peer Status 2 CISCO-BGP ver.4 Trapd 1 1 ",QA36CZJR01,"CISCO-BGP ver.4","CISCO BGP Peer Status",None,2,1428444002,4
3890054605,UPDATE,"W72NKYXO4 bgpPeerEntry.10.43.186.26 CISCO BGP Peer Status 2 CISCO-BGP ver.4 Trapd 1 1 ",W72NKYXO4,"CISCO-BGP ver.4","CISCO BGP Peer Status",None,2,1428444002,4
3917675519,UPDATE,"SP55CZJR01: hwNmNorthboundEventNotify alarm. Event: ID:72,DeviceType:1977,AU alarm indication - Slot: 8 Port: 1 TTP_TYPE=44 8-SL16S-1(SP55EMDF01 S7)-VC4:15",SP55CZJR01,hwNmNorthboundEventTrap,Communication,"Slot=8 Port=1 TTP_TYPE=44 8-SL16S-1(SP55EMDF01 S7)-VC4:15",2,1428444002,4
3917675521,UPDATE,"SP55CZJR01: hwNmNorthboundEventNotify alarm. Event: ID:72,DeviceType:1977,AU alarm indication - Slot: 8 Port: 1 TTP_TYPE=44 8-SL16S-1(SP55EMDF01 S7)-VC4:14",SP55CZJR01,hwNmNorthboundEventTrap,Communication,"Slot=8 Port=1 TTP_TYPE=44 8-SL16S-1(SP55EMDF01 S7)-VC4:14",2,1428444002,4
3917675487,UPDATE,"SP55APIL01: hwNmNorthboundEventNotify alarm. Event: ID:72,DeviceType:1977,AU alarm indication - Slot: 8 Port: 1 TTP_TYPE=44 8-SL16S-1(SP35FMWH01 S12)-VC4:15",SP55APIL01,hwNmNorthboundEventTrap,Communication,"Slot=8 Port=1 TTP_TYPE=44 8-SL16S-1(SP35FMWH01 S12)-VC4:15",2,1428444002,4
3889880383,UPDATE,"Syslogd Generic Aggregator Failure",GV-68223943_267032.SKHT.RDK.NS,"Syslog - Generic",Unknown,None,3600,1428444003,1
3917675485,UPDATE,"SP55APIL01: hwNmNorthboundEventNotify alarm. Event: ID:72,DeviceType:1977,AU alarm indication - Slot: 8 Port: 1 TTP_TYPE=44 8-SL16S-1(SP35FMWH01 S12)-VC4:14",SP55APIL01,hwNmNorthboundEventTrap,Communication,"Slot=8 Port=1 TTP_TYPE=44 8-SL16S-1(SP35FMWH01 S12)-VC4:14",2,1428444002,4
3917554289,UPDATE,"metric-W76CZDUW1-Outbound_Bandwidth_Greater_Than_90%-Gi3/8-[IP-Transit:200701096:10808773] SinovaTec Lvwenzahnweg 01-00-175",W76CZDUW1,"Metric Mgr Syslog",NetworkTraffic,DefaultThresholdEngine,1,1428444003,0
3429563843,UPDATE,"GV-30013643_259940FAN-3-FAN_FAILED Fan 1 had a rotation error reported.",GV-30013643_259940,"Cisco Syslog",FAN-3-FAN_FAILED,None,3600,1428444003,3
3429563841,UPDATE,"GV-30013643_259940FAN-3-FAN_FAILED Fan 2 had a rotation error reported.",GV-30013643_259940,"Cisco Syslog",FAN-3-FAN_FAILED,None,3600,1428444003,3
3917675499,UPDATE,"SP55DPGG01: hwNmNorthboundEventNotify alarm. Event: ID:72,DeviceType:1977,AU alarm indication - Slot: 8 Port: 1 TTP_TYPE=44 8-SL16S-1(SP55CZJR01 S7)-VC4:15",SP55DPGG01,hwNmNorthboundEventTrap,Communication,"Slot=8 Port=1 TTP_TYPE=44 8-SL16S-1(SP55CZJR01 S7)-VC4:15",2,1428444002,4
3917675501,UPDATE,"SP55DPGG01: hwNmNorthboundEventNotify alarm. Event: ID:72,DeviceType:1977,AU alarm indication - Slot: 8 Port: 1 TTP_TYPE=44 8-SL16S-1(SP55CZJR01 S7)-VC4:14",SP55DPGG01,hwNmNorthboundEventTrap,Communication,"Slot=8 Port=1 TTP_TYPE=44 8-SL16S-1(SP55CZJR01 S7)-VC4:14",2,1428444002,4
3916444083,UPDATE,BPA_CSFI-CSFI2.VJZW.LEUU.BPA.NS,CSFI2.VJZW.LEUU.BPA.NS,BPA_CSFI,SIL,BPA_CSFI,1,1428444002,0
3889870839,UPDATE,10.43.186.65LINK-3-UPDOWNInterface,10.43.186.65,"Cisco Syslog",LINK-3-UPDOWN,None,2,1428444003,3
3890048723,UPDATE,"W72NKYXO4 bgpPeerEntry.10.43.185.42 CISCO BGP Peer Status 2 CISCO-BGP ver.4 Trapd 1 1 ",W72NKYXO4,"CISCO-BGP ver.4","CISCO BGP Peer Status",None,2,1428444003,4
3815428263,UPDATE,"IETF-BGP4-MIB-W72NQKOH3-IETF BGP Peer Status-None-BGP Peer Connection Idle  ( BGP Peer: W72NQKOH3 )",W72NQKOH3,IETF-BGP4-MIB,"IETF BGP Peer Status",None,2,1428444003,4
3917675549,UPDATE,"SP55VTNO01: hwNmNorthboundEventNotify alarm. Event: ID:72,DeviceType:1977,AU alarm indication - Slot: 8 Port: 1 TTP_TYPE=44 8-SL16S-1(SP55IFTZ01 S7)-VC4:15",SP55VTNO01,hwNmNorthboundEventTrap,Communication,"Slot=8 Port=1 TTP_TYPE=44 8-SL16S-1(SP55IFTZ01 S7)-VC4:15",2,1428444003,4
3889880383,UPDATE,"Syslogd Generic Aggregator Failure",GV-68223943_267032.SKHT.RDK.NS,"Syslog - Generic",Unknown,None,3600,1428444004,1
3917675553,UPDATE,"SP55VTNO01: hwNmNorthboundEventNotify alarm. Event: ID:72,DeviceType:1977,AU alarm indication - Slot: 7 Port: 1 TTP_TYPE=44 7-SL16S-1(SP55GKGC01 S8)-VC4:15",SP55VTNO01,hwNmNorthboundEventTrap,Communication,"Slot=7 Port=1 TTP_TYPE=44 7-SL16S-1(SP55GKGC01 S8)-VC4:15",2,1428444003,4
3917675551,UPDATE,"SP55VTNO01: hwNmNorthboundEventNotify alarm. Event: ID:72,DeviceType:1977,AU alarm indication - Slot: 8 Port: 1 TTP_TYPE=44 8-SL16S-1(SP55IFTZ01 S7)-VC4:14",SP55VTNO01,hwNmNorthboundEventTrap,Communication,"Slot=8 Port=1 TTP_TYPE=44 8-SL16S-1(SP55IFTZ01 S7)-VC4:14",2,1428444003,4
3916444097,UPDATE,BPA_CSFI-CSFI1.QPBH.LEUU.BPA.NS,CSFI1.QPBH.LEUU.BPA.NS,BPA_CSFI,SIL,BPA_CSFI,1,1428444003,0
3917675555,UPDATE,"SP55VTNO01: hwNmNorthboundEventNotify alarm. Event: ID:72,DeviceType:1977,AU alarm indication - Slot: 7 Port: 1 TTP_TYPE=44 7-SL16S-1(SP55GKGC01 S8)-VC4:14",SP55VTNO01,hwNmNorthboundEventTrap,Communication,"Slot=7 Port=1 TTP_TYPE=44 7-SL16S-1(SP55GKGC01 S8)-VC4:14",2,1428444003,4
3917675545,UPDATE,"SP35FMWH01: hwNmNorthboundEventNotify alarm. Event: ID:72,DeviceType:1942,AU alarm indication - Slot: 11 Port: 1 TTP_TYPE=44 11-N1SLD64-1(SDH-1 (JO18FMWH02 S1/1))-VC4:64",SP35FMWH01,hwNmNorthboundEventTrap,Communication,"Slot=11 Port=1 TTP_TYPE=44 11-N1SLD64-1(SDH-1 (JO18FMWH02 S1/1))-VC4:64",2,1428444003,4
3917766525,UPDATE,"10.89.4.94 - [1/1/74/71] LAN security error: <default> [Answer] ",QTQZFHXX01,"Stinger syslog","User ERR",<148>1/1,3600,1428444004,0
3917675547,UPDATE,"SP35FMWH01: hwNmNorthboundEventNotify alarm. Event: ID:72,DeviceType:1942,AU alarm indication - Slot: 11 Port: 1 TTP_TYPE=44 11-N1SLD64-1(SDH-1 (JO18FMWH02 S1/1))-VC4:62",SP35FMWH01,hwNmNorthboundEventTrap,Communication,"Slot=11 Port=1 TTP_TYPE=44 11-N1SLD64-1(SDH-1 (JO18FMWH02 S1/1))-VC4:62",2,1428444003,4
3917682627,UPDATE,SKAFVJN-BW_UBDAXMRZW_ETLINK-3-UPDOWNInterface,SKAFVJN-BW_UBDAXMRZW_ET,"Cisco Syslog",LINK-3-UPDOWN,None,1,1428444004,0
3800611581,UPDATE,"IETF-BGP4-MIB-W72NKYXO4-IETF BGP Peer Status-None-BGP Peer Connection Idle  ( BGP Peer: W72NKYXO4 )",W72NKYXO4,IETF-BGP4-MIB,"IETF BGP Peer Status",None,2,1428444003,4
3890049255,UPDATE,"W72NQKOH3 bgpPeerEntry.10.11.254.167 CISCO BGP Peer Status 2 CISCO-BGP ver.4 Trapd 2 1 hold time expired",W72NQKOH3,"CISCO-BGP ver.4","CISCO BGP Peer Status",None,2,1428444004,4
3890048325,UPDATE,"W72NKYXO4 bgpPeerEntry.10.43.186.2 CISCO BGP Peer Status 2 CISCO-BGP ver.4 Trapd 2 1 ",W72NKYXO4,"CISCO-BGP ver.4","CISCO BGP Peer Status",None,2,1428444004,4
3889880383,UPDATE,"Syslogd Generic Aggregator Failure",GV-68223943_267032.SKHT.RDK.NS,"Syslog - Generic",Unknown,None,3600,1428444005,1
3800611643,UPDATE,"IETF-BGP4-MIB-QA36CZJR01-IETF BGP Peer Status-None-BGP Peer Connection Idle  ( BGP Peer: QA36CZJR01 )",QA36CZJR01,IETF-BGP4-MIB,"IETF BGP Peer Status",None,2,1428444004,4
3917780849,UPDATE,"W72NQKOH3 bgpPeerEntry.10.11.254.167 CISCO BGP Peer Status 2 CISCO-BGP ver.4 Trapd 1 1 hold time expired",W72NQKOH3,"CISCO-BGP ver.4","CISCO BGP Peer Status",None,2,1428444004,0
3890028355,UPDATE,"W2.GZCE.BPA.NS--BGP-NOTIFICATION-3600-Cisco-General ( BGP )-Trapd-1",W2.GZCE.BPA.NS,"Cisco-General ( BGP )",BGP-NOTIFICATION,None,3600,1428444004,2
3815428261,UPDATE,"IETF-BGP4-MIB-W72CZDUW6-IETF BGP Peer Status-None-BGP Peer Connection Idle  ( BGP Peer: W72CZDUW6 )",W72CZDUW6,IETF-BGP4-MIB,"IETF BGP Peer Status",None,2,1428444004,4
3890048291,UPDATE,"QA36CZJR01 bgpPeerEntry.10.43.149.121 CISCO BGP Peer Status 2 CISCO-BGP ver.4 Trapd 2 1 ",QA36CZJR01,"CISCO-BGP ver.4","CISCO BGP Peer Status",None,2,1428444004,4
3800611581,UPDATE,"IETF-BGP4-MIB-W72NKYXO4-IETF BGP Peer Status-None-BGP Peer Connection Idle  ( BGP Peer: W72NKYXO4 )",W72NKYXO4,IETF-BGP4-MIB,"IETF BGP Peer Status",None,2,1428444004,4
3890048275,UPDATE,"W72CZDUW6 bgpPeerEntry.10.43.186.1 CISCO BGP Peer Status 2 CISCO-BGP ver.4 Trapd 2 1 ",W72CZDUW6,"CISCO-BGP ver.4","CISCO BGP Peer Status",None,2,1428444004,4
3889870839,UPDATE,10.43.186.65LINK-3-UPDOWNInterface,10.43.186.65,"Cisco Syslog",LINK-3-UPDOWN,None,2,1428444005,3
3890137745,UPDATE,"NZK-XQWBRVMBWN_RSVYJYKNH--BGP-NOTIFICATION-3600-Cisco-General ( BGP )-Trapd-1",NZK-XQWBRVMBWN_RSVYJYKNH,"Cisco-General ( BGP )",BGP-NOTIFICATION,None,3600,1428444004,2
3890048295,UPDATE,"QA36CZJR01 bgpPeerEntry.10.43.149.121 CISCO BGP Peer Status 2 CISCO-BGP ver.4 Trapd 1 1 ",QA36CZJR01,"CISCO-BGP ver.4","CISCO BGP Peer Status",None,2,1428444004,4
3890025077,UPDATE,"W76TJUMM1BGP-3-NOTIFICATION received from neighbor 10.131.12.22 active 2/5 (authentication failure) 0 bytes ",W76TJUMM1,"Cisco Syslog",BGP-3-NOTIFICATION,None,3600,1428444006,3
3889880383,UPDATE,"Syslogd Generic Aggregator Failure",GV-68223943_267032.SKHT.RDK.NS,"Syslog - Generic",Unknown,None,3600,1428444006,1
3890048173,UPDATE,"W72CZDUW6 bgpPeerEntry.10.43.186.1 CISCO BGP Peer Status 2 CISCO-BGP ver.4 Trapd 1 1 ",W72CZDUW6,"CISCO-BGP ver.4","CISCO BGP Peer Status",None,2,1428444004,4
3815428261,UPDATE,"IETF-BGP4-MIB-W72CZDUW6-IETF BGP Peer Status-None-BGP Peer Connection Idle  ( BGP Peer: W72CZDUW6 )",W72CZDUW6,IETF-BGP4-MIB,"IETF BGP Peer Status",None,2,1428444005,4
3890048767,UPDATE,"W72CZDUW6 bgpPeerEntry.10.43.186.3 CISCO BGP Peer Status 2 CISCO-BGP ver.4 Trapd 2 1 ",W72CZDUW6,"CISCO-BGP ver.4","CISCO BGP Peer Status",None,2,1428444005,4
3890048777,UPDATE,"W72CZDUW6 bgpPeerEntry.10.43.186.3 CISCO BGP Peer Status 2 CISCO-BGP ver.4 Trapd 1 1 ",W72CZDUW6,"CISCO-BGP ver.4","CISCO BGP Peer Status",None,2,1428444005,4
3800611581,UPDATE,"IETF-BGP4-MIB-W72NKYXO4-IETF BGP Peer Status-None-BGP Peer Connection Idle  ( BGP Peer: W72NKYXO4 )",W72NKYXO4,IETF-BGP4-MIB,"IETF BGP Peer Status",None,2,1428444005,4
3917675665,UPDATE,"SP36RCTK02: hwNmNorthboundEventNotify alarm. Event: ID:83,DeviceType:1942,TU alarm indication - Slot: 6 Port: 15 TTP_TYPE=5 6-N2PQ1-15(RDK03_LNI/2/41/1)-PPI:1",SP36RCTK02,hwNmNorthboundEventTrap,Communication,"Slot=6 Port=15 TTP_TYPE=5 6-N2PQ1-15(RDK03_LNI/2/41/1)-PPI:1",2,1428444005,4
3917675667,UPDATE,"SP36RCTK02: hwNmNorthboundEventNotify alarm. Event: ID:83,DeviceType:1942,TU alarm indication - Slot: 6 Port: 55 TTP_TYPE=5 6-N2PQ1-55(RDK03_LNI/2/3/1)-PPI:1",SP36RCTK02,hwNmNorthboundEventTrap,Communication,"Slot=6 Port=55 TTP_TYPE=5 6-N2PQ1-55(RDK03_LNI/2/3/1)-PPI:1",2,1428444005,4
3890048267,UPDATE,"W72NKYXO4 bgpPeerEntry.10.43.186.4 CISCO BGP Peer Status 2 CISCO-BGP ver.4 Trapd 2 1 ",W72NKYXO4,"CISCO-BGP ver.4","CISCO BGP Peer Status",None,2,1428444006,4
3916803207,UPDATE,"ERWTAHKEPTKLH02.EZAZWG.NSapps/mysql-proxy/libexec/mysql-proxy --defaults-file=/opt/monolith/etc/mysql-proxy.conf",ERWTAHKEPTKLH02.EZAZWG.NS,Syslog_HealthCheck,PP_HealthCheck,ProcessCheck,3600,1428444006,0
3890025091,UPDATE,"W76TJUMM1BGP_SESSION-5-ADJCHANGE neighbor 10.131.12.22 IPv4 Unicast vpn vrf JCD.CQZEYA.NS topology base removed from session  BGP Notification received",W76TJUMM1,"Cisco Syslog",BGP_SESSION-5-ADJCHANGE,None,86400,1428444007,2
3906866717,UPDATE,"ERWTAHKEPTKLH02.EZAZWG.NSPP_HealthCheckThread_Health ERWTAHKEPTKLH02.EZAZWG.NS",ERWTAHKEPTKLH02.EZAZWG.NS,Syslog_HealthCheck,PP_HealthCheck,Thread_Health,3600,1428444006,0
3517322943,UPDATE,"Cisco-IOS ( CDP )-IDC-YRLBZSQIF_YGUMOGZABALYCAAN-CDP-DUPLEX_MISMATCH-None-ex).",IDC-YRLBZSQIF_YGUMOGZABALYCAAN,"Cisco-IOS ( CDP )",CDP-DUPLEX_MISMATCH,None,3600,1428444006,2
3911756609,UPDATE,"0PP_HealthCheckHealth 0",0,Syslog_HealthCheck,PP_HealthCheck,Health,3600,1428444006,0
3890048335,UPDATE,"W72NKYXO4 bgpPeerEntry.10.43.186.4 CISCO BGP Peer Status 2 CISCO-BGP ver.4 Trapd 1 1 ",W72NKYXO4,"CISCO-BGP ver.4","CISCO BGP Peer Status",None,2,1428444006,4
3815428261,UPDATE,"IETF-BGP4-MIB-W72CZDUW6-IETF BGP Peer Status-None-BGP Peer Connection Idle  ( BGP Peer: W72CZDUW6 )",W72CZDUW6,IETF-BGP4-MIB,"IETF BGP Peer Status",None,2,1428444006,4
3890050247,UPDATE,"W72NKYXO4 bgpPeerEntry.10.43.186.27 CISCO BGP Peer Status 2 CISCO-BGP ver.4 Trapd 2 1 ",W72NKYXO4,"CISCO-BGP ver.4","CISCO BGP Peer Status",None,2,1428444006,4
3916450579,UPDATE,"ERWTAHKEPTKLH02.EZAZWG.NSapps/unison/bin/unison -socket 873",ERWTAHKEPTKLH02.EZAZWG.NS,Syslog_HealthCheck,PP_HealthCheck,ProcessCheck,3600,1428444006,0
3890048275,UPDATE,"W72CZDUW6 bgpPeerEntry.10.43.186.1 CISCO BGP Peer Status 2 CISCO-BGP ver.4 Trapd 2 1 ",W72CZDUW6,"CISCO-BGP ver.4","CISCO BGP Peer Status",None,2,1428444006,4
3890048173,UPDATE,"W72CZDUW6 bgpPeerEntry.10.43.186.1 CISCO BGP Peer Status 2 CISCO-BGP ver.4 Trapd 1 1 ",W72CZDUW6,"CISCO-BGP ver.4","CISCO BGP Peer Status",None,2,1428444006,4
3917809177,UPDATE,VF-RJMI_LZ088630LINK-3-UPDOWNInterface,VF-RJMI_LZ088630,"Cisco Syslog",LINK-3-UPDOWN,None,1,1428444007,0
3800611581,UPDATE,"IETF-BGP4-MIB-W72NKYXO4-IETF BGP Peer Status-None-BGP Peer Connection Idle  ( BGP Peer: W72NKYXO4 )",W72NKYXO4,IETF-BGP4-MIB,"IETF BGP Peer Status",None,2,1428444007,4
3890048325,UPDATE,"W72NKYXO4 bgpPeerEntry.10.43.186.2 CISCO BGP Peer Status 2 CISCO-BGP ver.4 Trapd 2 1 ",W72NKYXO4,"CISCO-BGP ver.4","CISCO BGP Peer Status",None,2,1428444007,4
3913910219,UPDATE,"ERWTAHKEPTKLH02.EZAZWG.NSmodules/events/bin/aggregators/trapd -c 2",ERWTAHKEPTKLH02.EZAZWG.NS,Syslog_HealthCheck,PP_HealthCheck,ProcessCheck,3600,1428444006,0
3800611643,UPDATE,"IETF-BGP4-MIB-QA36CZJR01-IETF BGP Peer Status-None-BGP Peer Connection Idle  ( BGP Peer: QA36CZJR01 )",QA36CZJR01,IETF-BGP4-MIB,"IETF BGP Peer Status",None,2,1428444007,4
